#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:24:44.645
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.001843349609375,-0.4504220680286884
0.001843974609375,-0.4504220680286884
0.001844599609375,-0.4401635020557763
0.001845224609375,-0.4401635020557763
0.001845849609375,-0.4401635020557763
0.001846474609375,-0.4350342190693202
0.001847099609375,-0.4299049360828641
0.001847724609375,-0.4299049360828641
0.001848349609375,-0.4196463701099519
0.001848974609375,-0.4196463701099519
0.001849599609375,-0.4196463701099519
0.001850224609375,-0.4093878041370397
0.001850849609375,-0.4042585211505835
0.001851474609375,-0.4042585211505835
0.001852099609375,-0.3991292381641274
0.001852724609375,-0.3939999551776713
0.001853349609375,-0.3991292381641274
0.001853974609375,-0.3888706721912152
0.001854599609375,-0.3837413892047591
0.001855224609375,-0.3837413892047591
0.001855849609375,-0.378612106218303
0.001856474609375,-0.3683535402453909
0.001857099609375,-0.3734828232318469
0.001857724609375,-0.3734828232318469
0.001858349609375,-0.3580949742724787
0.001858974609375,-0.3632242572589348
0.001859599609375,-0.3580949742724787
0.001860224609375,-0.3529656912860225
0.001860849609375,-0.3478364082995664
0.001861474609375,-0.3478364082995664
0.001862099609375,-0.3375778423266542
0.001862724609375,-0.3375778423266542
0.001863349609375,-0.3427071253131103
0.001863974609375,-0.327319276353742
0.001864599609375,-0.3221899933672859
0.001865224609375,-0.3324485593401981
0.001865849609375,-0.3170607103808298
0.001866474609375,-0.3119314273943737
0.001867099609375,-0.3170607103808298
0.001867724609375,-0.3068021444079176
0.001868349609375,-0.3016728614214615
0.001868974609375,-0.3068021444079176
0.001869599609375,-0.2965435784350054
0.001870224609375,-0.2914142954485493
0.001870849609375,-0.2914142954485493
0.001871474609375,-0.2862850124620932
0.001872099609375,-0.2811557294756371
0.001872724609375,-0.2811557294756371
0.001873349609375,-0.276026446489181
0.001873974609375,-0.2708971635027249
0.001874599609375,-0.2657678805162688
0.001875224609375,-0.2657678805162688
0.001875849609375,-0.2606385975298127
0.001876474609375,-0.2555093145433566
0.001877099609375,-0.2503800315569005
0.001877724609375,-0.2503800315569005
0.001878349609375,-0.2452507485704444
0.001878974609375,-0.2401214655839883
0.001879599609375,-0.2349921825975322
0.001880224609375,-0.2401214655839883
0.001880849609375,-0.2298628996110761
0.001881474609375,-0.22473361662462
0.001882099609375,-0.22473361662462
0.001882724609375,-0.2144750506517078
0.001883349609375,-0.2144750506517078
0.001883974609375,-0.2144750506517078
0.001884599609375,-0.2042164846787956
0.001885224609375,-0.2042164846787956
