#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151A2B6A6
#Date Time: 2024-05-23 17:46:07.209
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 50 Hz
#Amplitude: 500 mV
#Offset: 500 mV
#Symmetry: 50 %
#Phase: 0 ¡Æ

Time (s),Channel 1 (V),Channel 2 (V)
-0.0220579,-0.0110185,0.00149312
-0.0220517,-0.0110185,0.00149312
-0.0220454,-0.0110185,0.00149312
-0.0220392,-0.0110185,0.00149312
-0.0220329,-0.00618497,0.00149312
-0.0220267,-0.00618497,0.00149312
-0.0220204,-0.00618497,0.00629525
-0.0220142,-0.00618497,0.00629525
-0.0220079,-0.0110185,0.00149312
-0.0220017,-0.0110185,0.00149312
-0.0219954,-0.00618497,0.00629525
-0.0219892,-0.0110185,0.00149312
-0.0219829,-0.0110185,0.00149312
-0.0219767,-0.00618497,0.00149312
-0.0219704,-0.00618497,0.00149312
-0.0219642,-0.0110185,0.00149312
-0.0219579,-0.00618497,0.00149312
-0.0219517,-0.0110185,0.00149312
-0.0219454,-0.00618497,0.00149312
-0.0219392,-0.00618497,0.00629525
-0.0219329,-0.0110185,0.00149312
-0.0219267,-0.00618497,0.00629525
-0.0219204,-0.00618497,0.00149312
-0.0219142,-0.0110185,0.00149312
-0.0219079,-0.0110185,0.00149312
-0.0219017,-0.00618497,0.00149312
-0.0218954,-0.00618497,0.00149312
-0.0218892,-0.00618497,0.00149312
-0.0218829,-0.0110185,0.00149312
-0.0218767,-0.00618497,0.00149312
-0.0218704,-0.00618497,0.00149312
-0.0218642,-0.0110185,0.00149312
-0.0218579,-0.0110185,0.00149312
-0.0218517,-0.00618497,0.00149312
-0.0218454,-0.0110185,0.00149312
-0.0218392,-0.0110185,0.00149312
-0.0218329,-0.0110185,0.00149312
